timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604068702115,3521,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",171,0,55
1604068702115,171,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,171,0,55
1604068702286,3350,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",436,0,298
1604068701719,4538,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,668522,238,5,5,"https://www.gazeta.pl/0,0.html",160,0,47
1604068701719,162,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,160,0,47
1604068701884,4373,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,668065,123,5,5,"https://www.gazeta.pl/0,0.html",892,0,700
1604068701586,4886,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,668302,238,5,5,"https://www.gazeta.pl/0,0.html",292,0,179
1604068701586,294,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,292,0,179
1604068701884,4588,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,667845,123,5,5,"https://www.gazeta.pl/0,0.html",881,0,700
1604068701915,5069,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,670577,238,5,5,"https://www.gazeta.pl/0,0.html",104,0,52
1604068701915,104,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,5,5,http://www.gazeta.pl/,104,0,52
1604068702020,4964,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,670120,123,5,5,"https://www.gazeta.pl/0,0.html",844,0,561
1604068706984,121,Gazeta.pl main page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.gazeta.pl:80 failed to respond,Gazeta.pl users 1-3,text,false,ERROR: Test is failed,2093,0,5,5,http://www.gazeta.pl/,0,0,0
1604068702314,4957,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",92,0,56
1604068702314,92,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,92,0,56
1604068702407,4864,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",664,0,279
1604068705638,1982,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",68,0,0
1604068705638,68,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,68,0,0
1604068705706,1914,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",133,0,0
1604068706258,2376,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",149,0,0
1604068706258,149,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,149,0,0
1604068706407,2227,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",194,0,0
1604068706473,2644,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,670577,238,5,5,"https://www.gazeta.pl/0,0.html",131,0,0
